# IPTV 直播源汇总
# 更新时间: 2026-02-26 09:03:57（北京时间）
# 有效源总数: 1659

更新时间,#genre#
2026-02-26 09:03:57,http://logo.mp4

央视频道,#genre#
贵州卫视,http://171.113.174.156:8686/rtp/239.69.1.150:10536$湖北电信(248ms)
贵州卫视,http://27.17.212.242:8888/rtp/239.69.1.150:10536$湖北电信(253ms)
贵州卫视,http://123.112.240.132:5555/rtp/239.3.1.149:8076$北京市联通(242ms)
云南卫视,http://49.71.69.165:4000/rtp/239.49.0.177:8000$江苏电信(252ms)
云南卫视,http://60.186.33.137:4022/rtp/233.50.200.115:5140$浙江电信(254ms)
云南卫视,http://171.8.169.205:8800/rtp/239.16.20.85:10850$河南电信(267ms)
云南卫视,http://49.74.72.204:8888/rtp/239.49.0.177:8000$江苏电信(237ms)
天津卫视,http://144.0.57.58:7004/rtp/239.21.1.165:5002$山东电信(258ms)
天津卫视,http://171.113.174.156:8686/rtp/239.69.1.68:10048$湖北电信(248ms)
天津卫视,http://27.17.212.242:8888/rtp/239.69.1.68:10048$湖北电信(253ms)
天津卫视,http://123.112.240.132:5555/rtp/239.3.1.141:1234$北京市联通(242ms)
安徽卫视,http://144.0.57.58:7004/rtp/239.21.1.159:5002$山东电信(258ms)
安徽卫视,http://171.113.174.156:8686/rtp/239.69.1.70:10060$湖北电信(248ms)
安徽卫视,http://27.17.212.242:8888/rtp/239.69.1.70:10060$湖北电信(253ms)
安徽卫视,http://123.112.240.132:5555/rtp/239.3.1.211:8064$北京市联通(242ms)
山东卫视,http://144.0.57.58:7004/rtp/239.21.1.87:5002$山东电信(258ms)
山东卫视,http://171.113.174.156:8686/rtp/239.69.1.69:10054$湖北电信(248ms)
山东卫视,http://27.17.212.242:8888/rtp/239.69.1.69:10054$湖北电信(253ms)
山东卫视,http://123.112.240.132:5555/rtp/239.3.1.209:8052$北京市联通(242ms)
辽宁卫视,http://144.0.57.58:7004/rtp/239.21.1.164:5002$山东电信(258ms)
